education,identity,known_relatives,link,name,other_aliases,place_of_origin,universe
Unrevealed,Secret,"Migdalia (cousin), Paco Montoya (El Aguila, ancestor), David Montoya, Pedro Montoya, Conchita Montoya, Rosita Montoya, Enrique Montoya, Rosario Montoya",https://www.marvel.com/characters/aguila-alejandro-montoya,Aguila,"The Eagle, the Master, Aguila","Madrid, Spain",Marvel Universe
Unrevealed,Secret,"Enrique Montoya (cousin; deceased), Alejandro Montoya (Aguila, descendent)",https://www.marvel.com/characters/aguila-paco-montoya,Aguila,The Flashing Sword of Justice,Unrevealed,Marvel Universe
Ph.D. in psychology from Strathclyde University,Secret,None,https://www.marvel.com/characters/ahab,Ahab,"Famine, Master of the Hounds",Unrevealed,Marvel Universe
Unrevealed,Known to authorities,Unrevealed,https://www.marvel.com/characters/ai-apaec,Ai Apaec,"Spider-Man, the Decapitator",Unrevealed,Marvel Universe
Unrevealed,Secret,Unrevealed,https://www.marvel.com/characters/air-walker-gabriel-lan,Air-Walker,"Nova Centurion, the Archangel Gabriel","Planet Xandar in the Tranta system, Andromeda Galaxy",Marvel Universe
Unrevealed; military training,Publicly known,None,https://www.marvel.com/characters/airstrike-dmitri-bukharin,Airstrike,Crimson Dynamo,"Kuybyshev, Novosibirsk Oblast, Russia",Marvel Universe
Unrevealed,,Secret,None,https://www.marvel.com/characters/ajak,Ajak,"Tecumotzin, Lord of Flight","Polaria (now known as Siberia), U.S.S.R.",Marvel Universe
Unrevealed,Secret,Unidentified mother,https://www.marvel.com/characters/ajax-francis,Ajax,"""Frankie,"" the A-Man, the Attending",Unrevealed,Marvel Universe
Unrevealed,Unrevealed,Unrevealed,https://www.marvel.com/characters/ajaxis,Ajaxis,Unrevealed,Unrevealed,Marvel Universe
Royal tutors,Known only as historic figure to general public of Earth,"Amenhotep III (father), Tiy (mother), Nefertiti (wife), Tutankhaten/Tutankhamen (son or step-son)",https://www.marvel.com/characters/akhenaten,Akhenaten,unrevealed,"Thebes, Egypt",Marvel Universe
Unrevealed,The general populace of Earth was unaware of her existence,None,https://www.marvel.com/characters/aladi-ko-eke,Aladi Ko Eke,None,Unrevealed,Marvel Universe
Unrevealed,No dual identity,None,https://www.marvel.com/characters/alan-o-neil,Alan O'Neil,None,"Woodside, Queens, New York",Marvel Universe
Self-taught,(Albert) Secret; (Elsie-Dee) No dual identity,unrevealed,https://www.marvel.com/characters/albert-elsie-dee,Albert,"(Albert) Wolverine, Dummy; (Elsie-Dee) None",None,Marvel Universe
Unrevealed,Known to the authorities,Unrevealed,https://www.marvel.com/characters/albino-augusta-seger,Albino,Unrevealed,Unrevealed,Marvel Universe
"Ph.D. in History, B.A. in English Literature",Secret,None,https://www.marvel.com/characters/albion-peter-hunter,Albion,"Merlin, the Grail Hermit","Adlestrop, England",Marvel Universe
Unrevealed,Secret,"Ophelia Jones (mother), Ellie Jones (sister)",https://www.marvel.com/characters/alchemy,Alchemy,Tom Jones,England,Marvel Universe
Unrevealed,The general populace of Earth was unaware of Aldebron's existence,None known,https://www.marvel.com/characters/aldebron,Aldebron,None known,"Unrevealed, possibly a location on the planet of Tun",Marvel Universe
Unrevealed,,The general populace of Earth is unaware of Aleta's existences,"Ogord (father,deceased), Salaan (mother, deceased), Major Victory (fiancé), Stakar (ex-husband and adoptive brother), Tara, Sita and John (children, all deceased)",https://www.marvel.com/characters/aleta-ogord,Aleta Ogord,"Light Giver, Starhawk, the One Who Knows",Arcturus IV,Earth-691
None,None,None,https://www.marvel.com/characters/alex-wilder,Alex Wilder,None,None,None
Unrevealed,No dual identity,"Lucy Chamber (wife, deceased), Anita Cartelli (mother)",https://www.marvel.com/characters/alexander-bont,Alexander Bont,None,Unrevealed,Marvel Universe
None,Public; status as a former mutant is not publicly known,no known relatives,https://www.marvel.com/characters/alexander-lexington,Alexander Lexington,"""Lex""",None,Marvel Universe
Unrevealed,No dual identity,None,https://www.marvel.com/characters/alflyse,Alflyse,None,Svartalfheim,Marvel Universe
Unrevealed,No dual identity,None,https://www.marvel.com/characters/alice,Alice,None,Unrevealed,Marvel Universe
B.A. in Fine Arts,Publicly known,"Phillip Masters (stepfather), Marcia Reiss Masters (mother, deceased), Jacob Reiss (father, deceased)",https://www.marvel.com/characters/alicia-masters,Alicia Masters,"Alicia Reiss (birth name); the name Alicia Masters-Storm was used by Skrull impostor Lyja, but was popularly believed to have been used by Alicia","New York City, New York",Marvel Universe
"Programmed by Ultron, self-taught since",No dual identity,"Ultron (creator), Bobbi Morse (Mockingbird, deceased, source of engrams), Jocasta (""sister""), Antigone (creation, consciousness apparently destroyed)",https://www.marvel.com/characters/alkhema,Alkhema,unrevealed,unrevealed,Marvel Universe
College graduate,Publicly known,"Darlene (wife), unidentified parents (deceased), Steve (brother, deceased)",https://www.marvel.com/characters/all-american,All-American,"John, Jack, Mr. Magnificent","Newburgh, New York",Earth-148611
Unrevealed,Unknown to the general populace of Earth,Nergal (husband),https://www.marvel.com/characters/allatou,Allatou,None known,Unrevealed,Marvel Universe
Self-taught,No Dual Identity,Magneto (creator),https://www.marvel.com/characters/alpha-the-ultimate-mutant,Alpha the Ultimate Mutant,None,Unrevealed,Marvel Universe
None,None,None,https://www.marvel.com/characters/alphonso-mack-mackenzie,Alphonso Mackenzie,None,None,None
Unrevealed,No dual identity,Ego (The Living Planet),https://www.marvel.com/characters/alter-ego,Alter Ego,None,Unrevealed,Marvel Universe
Privately tutored,Publicly known,"Sergei Kravinoff (Kraven the Hunter, father, deceased), unidentified mother, Ana Kravinoff (half-sister), Vladimir Kravinoff (Grim Hunter, half-brother, deceased), Nedrocci Tannengarden (half-brother, deceased), Dmitri Smerdyakov (Chameleon, uncle)",https://www.marvel.com/characters/alyosha-kravinoff,Alyosha Kravinoff,"Al Kraven; formerly Kraven the Hunter. (Note: Kravinoff has been often misspelled ""Kravinov"")",Unrevealed African nation,Marvel Universe
None,Public,Alistaire Stuart (Brother),https://www.marvel.com/characters/alysande-stuart,Alysande Stuart,Brigadier Sandy Stuart,Unknown,None
College graduate,No dual identity,None known,https://www.marvel.com/characters/alyssa-moy,Alyssa Moy,None known,Unrevealed,Marvel Universe
None,None,None,https://www.marvel.com/characters/amadeus-cho,Brawn,None,None,None
Unrevealed,Secret,None,https://www.marvel.com/characters/amalgam,Amalgam,Angel of Death,Unrevealed,Marvel Universe
Unrevealed,Public,None,https://www.marvel.com/characters/amanda,Amanda,None,Unrevealed,Marvel Universe
RN (Registered Nurse),No dual identity,"Unidentified parents, unidentified others",https://www.marvel.com/characters/amelia-voght,Amelia Voght,None,Unrevealed,Marvel Universe
Unknown,The general population of Earth does not know of the existence of Amergin,Doctor Druid(descendent),https://www.marvel.com/characters/amergin,Amergin,None,Avalon,None
unrevealed,Secret,"Ward (brother, deceased)",https://www.marvel.com/characters/american-eagle-jason-strongbow,American Eagle,none,"Kaibito, Arizona",Marvel Universe
Police academy training,Known to authorities,None,https://www.marvel.com/characters/americop,Americop,unrevealed,Unrevealed,Marvel Universe
None,None,Wolverine (adopted father),https://www.marvel.com/characters/amiko,Amiko,None,None,Marvel Universe
None,Unrevealed,Unrevealed,https://www.marvel.com/characters/aminedi,Aminedi,Unrevealed,Unrevealed,Marvel Universe
Extensive combat training,No dual identity,Unnamed life-mate and offspring,https://www.marvel.com/characters/amphibion,Amphibion,unrevealed,"Planet Xantar, Xantares star system, Milky Way galaxy",Marvel Universe
Unrevealed,Secret,None,https://www.marvel.com/characters/amphibius,Amphibius,None,"Savage Land, Antarctica",Marvel Universe
High school student,Secret,Father (deceased),https://www.marvel.com/characters/amun,Amun,unrevealed,Egypt,Marvel Universe
High school dropout,Known to authorities,Unknown,https://www.marvel.com/characters/anaconda,Anaconda,None,"Pittsburgh, Pennsylvania",Marvel Universe
Unrevealed,Secret,None,https://www.marvel.com/characters/anak,Anak,None,Unrevealed,Marvel Universe
Unrevealed,No dual identity,None,https://www.marvel.com/characters/ananastasia,Ananastasia,None,"Congers, New York",Marvel Universe
High school graduate,Publicly known,"Unidentified foster father, mother, and grandfather",https://www.marvel.com/characters/anarchist,Anarchist,unrevealed,Unknown,Marvel Universe
"Prolonged study of sorcery, 15th-century medical training",Existence unknown to the present-day Earth,"Leung (wife, deceased)",https://www.marvel.com/characters/ancient-one,Ancient One,"bTsan Saa, the High Lama, the Master, the Mystic, the Spirit Leopard",Tibet,Marvel Universe
Unknown,Secret,(Andreas) Andrea (sister or wife); (Andrea) Andreas (brother or husband),https://www.marvel.com/characters/andrea-andreas-von-strucker-ultimate,Andrea,None,Unknown,Ultimate
Programmed for limited independent thought.,No dual identity,Mad Thinker (creator),https://www.marvel.com/characters/android-man,Android Man,Super-Android,Thinker's lab,Marvel Universe
Unrevealed,,Publicly Known in Skrull Empire,"Dorrek VIII (Hulkling, son), Dorrek VII (father, deceased), R'kill (mother, deceased), unidentified grandfather (deceased), Dorrek I (ancestor, deceased)",https://www.marvel.com/characters/anelle,Anelle,None,Skrull homeworld,Marvel Universe
Unrevealed,Secret,Unidentified parents,https://www.marvel.com/characters/anesthesia-ana,Anesthesia,"Agent Anesthesia, Anna",Unrevealed,Marvel Universe
Various courses at Xavier Institute (no degree),Secret,"Unidentified mother, step-father & sister; Beak (husband), Tito (son), Axel (son), Kara (daughter), three unidentified children",https://www.marvel.com/characters/angel-angel-salvadore,Angel,None,Unrevealed location in Wyoming,Marvel Universe
Educated by Carlos Javier,Publicly known,Unnamed mother,https://www.marvel.com/characters/angel-earth-311,Angel,None,Unrevealed,Marvel 1602 (Earth-311)
Currently undertaking college level classes,Publicly known,Unidentified parents,https://www.marvel.com/characters/angel-ultimate,Angel,"Captain Eagle, War",Unknown,Ultimate Universe
College degree from Xavier's School for Gifted Youngsters,,Publicly known,"Warren Kenneth Worthington Sr. (grandfather, deceased), Warren Kenneth Worthington Jr. (father, deceased), Kathryn Worthington (mother, deceased), Burtram ""Burt"" Worthington (Dazzler, paternal uncle), unidentified cousin",https://www.marvel.com/characters/angel-warren-worthington-iii,Angel,"Archangel, Formerly Death, Dark Angel, Angel, Avenging Angel","Centerport, Long Island, New York",Marvel Universe
Unrevealed,Secret,Unidentified parents,https://www.marvel.com/characters/angel-dust,Angel Dust,Dusty,"Chicago, Illinois",Marvel Universe
Unrevealed,Known to authorities,Unidentified father,https://www.marvel.com/characters/angel-face,Angel Face,None,Unrevealed,Marvel Universe
None,None,Sera (wife),https://www.marvel.com/characters/angela-aldrif-odinsdottir,Angela,Aldrif Odinsdottir,None,None
"Bachelor's degree in Preternatural Biology, professional training as a vampire executioner",Publicly known,None,https://www.marvel.com/characters/anita-blake-anita-blake-universe,Anita Blake,The Executioner,Indiana,Anita Blake Universe
Presumably dropout,Known to authorities,Unrevealed,https://www.marvel.com/characters/ankhi,Ankhi,None,Sweden,Marvel Universe
Unrevealed,Secret,"Four unidentified children (deceased), Leech (adopted son), Artie (adopted son)",https://www.marvel.com/characters/annalee,Annalee,None,Unrevealed,Marvel Universe
Unrevealed,No dual identity,"Fabian Cortez (brother, deceased)",https://www.marvel.com/characters/anne-marie-cortez,Anne-Marie Cortez,None,Unrevealed,Marvel Universe
Nursing degree,No dual identity,"Unidentified grandparents, unidentified father, Carter Ghazikhanian (son)",https://www.marvel.com/characters/annie-ghazikhanian,Annie Ghazikhanian,None,"New Jersey, New York, U.S.A.",Marvel Universe
Unrevealed,No dual identity,Annihilus is a series of clonal scions,https://www.marvel.com/characters/annihilus,Annihilus,"The Living Death That Walks, Lord of the Negative Zone","Planet of Arthros, Sector 17A, Negative Zone",Marvel Universe
Currently in high school level classes,Known to certain government officials,Unidentified parents,https://www.marvel.com/characters/anole,Anole,None,Unrevealed location in U.S.A.,Marvel Universe
Unrevealed,Anomaly's existence is unknown to the general populace of Earth,Unrevealed,https://www.marvel.com/characters/anomaly,Anomaly,None,Inapplicable,Marvel Universe
Unrevealed,Known to the United States Government,None,https://www.marvel.com/characters/answer-aaron-nicholson,Answer,None,Unrevealed,Marvel Universe
Unrevealed,Known to certain officials,Unrevealed,https://www.marvel.com/characters/ant-man-eric-o-grady,Ant-Man,None,"Lancaster, Vermont",Marvel Universe
None,None,None,https://www.marvel.com/characters/ant-man-scott-lang,Ant-Man,None,None,None
Unrevealed,Unknown to the general populace of Earth,None known,https://www.marvel.com/characters/anthropomorpho,Anthropomorpho,None known,"Unrevealed, possibly the Dimension of Manifestations",Marvel Universe
High school graduate,Secret,None,https://www.marvel.com/characters/anti-cap,Anti-Cap,Captain America,"Sayreville, Oklahoma",Marvel Universe
Unrevealed,Inapplicable; the general populace of Earth was unaware of Antiphon's existence.,"Aegis, Brio, Diableri, Tenebrous and several other unnamed siblings",https://www.marvel.com/characters/antiphon-the-overseer,Antiphon the Overseer,Overseer,The Living Universe,Marvel Universe
Unrevealed,Secret,"Geb (grandfather), Nut (grandmother), Osiris (father), Nephthys (mother), Qadesh (wife), Horus (half-brother), Seth (uncle), Isis (aunt, foster mother), Bast (great-grand-uncle)",https://www.marvel.com/characters/anubis,Anubis,"Lord of Death and Rebirth, the Guardian of the Veil, Jackal-God",Unrevealed,Marvel Universe
Unrevealed,Publicly known,None,https://www.marvel.com/characters/anvil-john-anvil,Anvil,None,Unrevealed,Marvel Universe
Unknown,Secret,"Red Hawk (caregiver and father figure),",https://www.marvel.com/characters/apache-kid-alan-krandal,Apache Kid,Aloysius Kare,Unrevealed,Marvel Universe
No formal education,Secret,"Dazii (Apache Kid, husband, deceased), Red Hawk (father-in-law), unnamed parents (deceased)",https://www.marvel.com/characters/apache-kid-rosa,Apache Kid,unrevealed,Unrevealed,Marvel Universe
Unrevealed,Secret,None,https://www.marvel.com/characters/ape-morlock,Ape,None,Unrevealed,Marvel Universe
Unrevealed,Publicly known on Earth-1211 (Nightside),Unknown,https://www.marvel.com/characters/ape-largo-earth-1211,Ape Largo,Ape Largo,Unrevealed,Earth-1211 (Nightside)
none,Publicly known,Holocaust  (possible son),https://www.marvel.com/characters/apocalypse-age-of-apocalypse,Apocalypse,"santa claus,zack eforon",cuba,Age of Apocalypse
Millenia of studies and experience,Publicly known,None,https://www.marvel.com/characters/apocalypse-earth-58163,Apocalypse,None,"Akkaba, Egypt",House of M
Centuries of study and experience,Secret,"Baal (adopted father, deceased)",https://www.marvel.com/characters/apocalypse-en-sabah-nur,Apocalypse,"High Lord, Forever Walker, Son of the Morning Fire, ""The First One,"" Set, Huitxilopochti, Sauru, Kali-Ma, Aten, many others",Akkaba region of Ancient Egypt,Marvel Universe
None,Secret,None,https://www.marvel.com/characters/apocalypse-beast,Apocalypse Beast,"Beast of Armageddon, Father Beast, Walking Apocalypse",Unrevealed,Marvel Universe
Tutored by minor goddesses,No dual identity,"Zeus (father), Leto (mother), Hera (step-mother), Artemis (sister), Poseidon, Hades (uncles), Heracles, Ares, Hephaestus, Hermes, Dionysus (half-brothers), Aphrodite, Pallas Athena, Eileithyia, Hebe, Discord, Helen, Pandia,  Persephone (half-sisters), Janus, Asclepius (sons)",https://www.marvel.com/characters/apollo,Apollo,"Paul Belvedere, Renee Andre, impersonated Marvin Klee","Mount Cynthus, Isle of Delos, Greece",Marvel Universe
Unrevealed,Secret,None known,https://www.marvel.com/characters/appraiser,Appraiser,Appraiser,Unrevealed,Marvel Universe
Unknown,The fact that he is an alien is not widely known.,"Hektu (father, deceased), Soja (mother, deceased)",https://www.marvel.com/characters/aquarian,Aquarian,Herald of the New Age,"Dakkam, second planet in the R Aquarii system (Earth designation)",Marvel Universe
Unrevealed; some military training,Known to the authorities,Unrevealed,https://www.marvel.com/characters/aqueduct,Aqueduct,Water Wizard,"Chicago, Illinois",Marvel Universe
"Unrevealed, but Omen referred to him as mindless",Secret,Unrevealed,https://www.marvel.com/characters/aquon,Aquon,None,Unrevealed,Marvel Universe
College degrees,Secret,"Maya, Rana, Almira (wives); Faisal, Hassim (sons); unnamed son; unnamed ancestor (deceased)",https://www.marvel.com/characters/arabian-knight-abdul-qamar,Arabian Knight,Unrevealed,"Aqabah, Saudi Arabia",Marvel Universe
"College dropout, federal agent training","Secret, known to certain government officials","Rachel Carpenter (daughter), Walter Cornwall (father), Elizabeth Cornwall (mother), Larry Carpenter (ex-husband, deceased)",https://www.marvel.com/characters/arachne-julia-carpenter,Arachne,Spider-Woman; considered using Ariadne,"Los Angeles, California",Marvel Universe
Unrevealed,No dual identity,None,https://www.marvel.com/characters/araki,Araki,Grand Vizier,"The Aerie, Shi'ar Empire",Marvel Universe
"Unrevealed, but she presumably has at least a high-school education and extensive training in singing, dancing and acting",Publicly known,None,https://www.marvel.com/characters/aralune,Aralune,"""Becky""","Unrevealed, but possibly somewhere in Texas",Marvel Universe
Unrevealed,Secret,None,https://www.marvel.com/characters/arc,Arc,None,Unrevealed planet in the Shi'ar Empire,Marvel Universe
Unrevealed,Secret,Unidentified parents (deceased),https://www.marvel.com/characters/arcade,Arcade,"Mister A, ""Mad Monk"", Pinball Wizard, A.R. Cadenski","Beverly Hills, Los Angeles, California (allegedly)",Marvel Universe
Doctorate in quantum physics,Known to the general public,Unrevealed,https://www.marvel.com/characters/arcanna,Arcanna,None,Unrevealed,Earth 31916
Unknown,Publicly known on the planet Sakaar; the general populace of Earth was unaware of Arch-E-5912's existence.,Unrevealed,https://www.marvel.com/characters/arch-e-5912,Arch-E-5912,None known,Unknown location on the planet Sakaar,Marvel Universe
Unrevealed; some military training,Secret,Unrevealed,https://www.marvel.com/characters/arclight,Arclight,None,Unrevealed,Marvel Universe
Private tutoring and military training,Publicly known in Microverse,"Dallan and Sepsis Rann (parents, deceased), Wayfinder (ancestor, deceased)",https://www.marvel.com/characters/arcturus-rann,Arcturus Rann,Formerly Captain Universe,"Homeworld, the Microverse",Marvel Universe
Tutored by Olympian scholars,,Known to S.H.I.E.L.D. authorities,"Alexander (son); Deimos, Phobos (sons, deceased), Monstro (alleged son); Harmonia (daughter); Zeus (father); Hera (mother); Hephaestus (brother); Athena, Hebe (sisters); Apollo, Dionysus, Hercules, Hermes (half-brothers);  Aphrodite, Artemis, Persephone (half-sisters); Neptune and Pluto (uncles); Demeter and Vesta (aunts); Chronus (grandfather); Rhea (grandmother); Ouranos (great-grandfather); Gaea (great-grandmother); numerous other relatives",https://www.marvel.com/characters/ares,Ares,"Mars (Roman name), John Aaron, Mr. Talon, Warhawk",Olympus,Marvel Universe
Unrevealed,No dual identity,None,https://www.marvel.com/characters/aria,Aria,None,Zenna,Marvel Universe
Unknown,Publicly known in Kree Empire,"Falzon (father), Murius (mother, deceased)",https://www.marvel.com/characters/arides,Arides,None,Hala,Marvel Universe
None,None,None,https://www.marvel.com/characters/arishem,Arishem,None,None,Marvel Universe
unrevealed,General populace of Earth is unaware of his existence,unrevealed,https://www.marvel.com/characters/arize,Arize,unrevealed,unrevealed,Marvel Universe
Unrevealed,Secret,Maria (wife),https://www.marvel.com/characters/armadillo,Armadillo,None,"San Antonio, Texas",Marvel Universe
Unrevealed,Secret,"Unidentified father (deceased), unidentified wife (deceased), unidentified son (deceased), Trauma (son, deceased)",https://www.marvel.com/characters/armageddon-arm-chedon,Armageddon,Warlord of the Troyjan,Troyjan home world,Marvel Universe
"Various courses at Xavier Institute For Higher Learning, Westchester, New York",Known to authorities,Unidentified ancestors,https://www.marvel.com/characters/armor-hisako-ichiki,Armor,None,Unrevealed,Marvel Universe
Unrevealed,Secret,None,https://www.marvel.com/characters/armorer,Armorer,Zahgurim's servant,Unrevealed,Marvel Universe
Advanced degree in 1930’s sciences,,No dual identity,Unrevealed,https://www.marvel.com/characters/arnim-zola,Arnim Zola,Bio-Fanatic,"Weisshorn Mountain, Switzerland",Marvel Universe
College graduate,Publicly known,None,https://www.marvel.com/characters/arranger,Arranger,None,"Westport, Connecticut",Marvel Universe
Unrevealed,Unrevealed,Unrevealed,https://www.marvel.com/characters/arsenal,Arsenal,Unrevealed,Unrevealed,Marvel Universe
Unknown,Secret,"Dr. Carl Maddicks (father, deceased)",https://www.marvel.com/characters/artie-maddicks,Artie Maddicks,None,unknown,Marvel Universe
Unrevealed,No dual identity,"Hippolyta (mother), Ares (grandfather), Otera (grandmother, possibly deceased), Zeus (great-grandfather)",https://www.marvel.com/characters/artume,Artume,None,Olympus,Marvel Universe
College graduate,Secret,"Killer Murdock (brother, deceased)",https://www.marvel.com/characters/asbestos-lady,Asbestos Lady,None,Unrevealed,Marvel Universe
Ph.D. in analytical chemistry,Known to authorities,Unrevealed,https://www.marvel.com/characters/asbestos-man,Asbestos Man,None,Unrevealed,Marvel Universe
None,None,None,https://www.marvel.com/characters/asgardians,Asgardians,None,None,None
Junior high school student,Secret,"Fritz Woolcot (father, deceased), Evelyn Woolcot (mother), Dylan Pattinson (adoptive father)",https://www.marvel.com/characters/ashcan,Ashcan,None,"New York City, New York",Marvel Universe
Unrevealed,Existence unknown to the general public,"Numerous offspring via Lilith; possibly Beliar (son), possible quasi-parental relationship to Daimon and Satana Hellstorm",https://www.marvel.com/characters/asmodeus,Asmodeus,"Azmodeus, Lord Asmodeus, ; possibly Asmodiar",Unrevealed,Marvel Universe
